#timestamp [ns],w_x,w_y,w_z,a_x,a_y,a_z
100000000000,0.0102684193,0.00665544092,-0.0088908131,0.0984196998,-0.0758977559,9.8480813
100001000000,0.012136314,0.00642344551,-0.00893033978,0.185434374,-0.0838290892,9.97728469
100002000000,0.0119226184,0.00581549461,-0.00892118721,0.143700694,-0.034639845,9.90458691
100003000000,0.0120029673,0.00450782555,-0.00864648595,0.101478569,-0.0799878016,9.89950043
100004000000,0.0119910191,0.00410325887,-0.00862096491,0.108469328,-0.208592174,9.87461274
100005000000,0.0119192882,0.00673100137,-0.00839983499,0.137832557,-0.0368382442,9.97243925
100006000000,0.0108617213,0.00686094051,-0.00811491059,0.0843125109,-0.055415986,9.84706065
100007000000,0.012983518,0.00629497038,-0.00737651563,0.0509696376,-0.133283439,9.83164938
100008000000,0.0115283352,0.00571574377,-0.00805413057,0.151317741,0.0378986124,9.96687524
100009000000,0.0130942312,0.00552978224,-0.00962057633,0.0215686473,-0.0324434122,9.90689773
100010000000,0.0122497379,0.00549237781,-0.00843622412,0.136155291,-0.214900712,9.97797699
100011000000,0.0126422591,0.00519022054,-0.00957253999,0.0667125402,-0.0298741288,9.93103445
100012000000,0.0112299086,0.00555600741,-0.00880251635,0.178792742,-0.04516873,9.91785222
100013000000,0.0103336411,0.00600479747,-0.00796539973,0.0315619709,-0.0622495707,9.91404825
100014000000,0.0114844564,0.00451565079,-0.00897854536,0.0688460535,-0.0704965092,9.93889479
100015000000,0.0120890765,0.00536252405,-0.00958758905,0.0682661083,-0.0913930841,9.993208
100016000000,0.0125088732,0.00557319972,-0.00950024264,0.166394137,-0.0212587409,9.84074676
100017000000,0.0119801188,0.00653662294,-0.00910511429,0.143802711,-0.0257584367,9.88553644
100018000000,0.0132291856,0.00543567553,-0.0102097714,0.109720352,-0.0938523639,9.98866146
100019000000,0.0119496939,0.00615031393,-0.0102593563,0.0670253258,-0.0184806347,9.93641276
100020000000,0.0126683007,0.00543934101,-0.00954704991,0.0876688795,-0.0651821501,9.89596157
100021000000,0.012193179,0.00632897601,-0.00871659585,0.123524613,-0.029690899,9.9299501
100022000000,0.0123251769,0.00577405759,-0.00800427546,0.0426070987,-0.0199155388,10.0235746
100023000000,0.0115104476,0.00687020975,-0.0101157418,0.120184488,-0.0962116697,9.92194549
100024000000,0.0116289788,0.00632465374,-0.00801474218,0.150383133,-0.0927182588,9.94095869
100025000000,0.0121142188,0.0075979233,-0.00943589046,0.120229302,-0.118639255,9.9141689
100026000000,0.0125609217,0.00515771761,-0.00780749655,0.0706547423,-0.0973453507,9.92409285
100027000000,0.0140779078,0.00509972395,-0.0094676931,0.150824403,-0.0211876945,9.9567516
100028000000,0.0118539432,0.00520427853,-0.00980632378,0.193838689,-0.119161173,9.9418074
100029000000,0.012504302,0.00605910716,-0.00897303693,0.0796427766,-0.0469391109,9.95039969
100030000000,0.0127125377,0.0042303054,-0.00852496858,0.119482654,-0.0906725648,9.86249988
100031000000,0.011272285,0.0062600653,-0.00982532562,0.151602195,-0.120348634,9.81888187
100032000000,0.0126516089,0.00477173652,-0.00938829546,0.139770041,-0.0290229509,9.87876819
100033000000,0.013275112,0.00476205136,-0.00626499289,0.100881274,0.0039680265,9.96474426
100034000000,0.0124370178,0.00702737911,-0.0100497028,0.0472033931,-0.0467349716,10.0022188
100035000000,0.0120924204,0.0057189931,-0.00999858995,0.0353733571,-0.0816033949,9.89911379
100036000000,0.0122677948,0.00522873826,-0.00902038915,0.100588055,-0.128326965,9.8927226
100037000000,0.0127528014,0.00642006838,-0.0100795299,0.121442111,0.0117851265,9.98476404
100038000000,0.0118771736,0.00517764324,-0.00938006712,0.0482244164,-0.102643172,9.89993915
100039000000,0.0117495816,0.00586584031,-0.00931674538,0.143734993,-0.0817736,9.83221115
100040000000,0.0114649833,0.00663876496,-0.00879799026,0.193313257,-0.0154345119,10.0084059
100041000000,0.0103310736,0.0068062907,-0.00663370394,0.0851879019,-0.101204159,9.93643371
100042000000,0.0113421529,0.0054591216,-0.00924672047,0.16138723,-0.162402665,9.93516564
100043000000,0.0124612884,0.0061144626,-0.00727964932,0.145979334,-0.0256038559,9.8849741
100044000000,0.0119534808,0.00425333034,-0.00981314441,0.0178639959,-0.0667620375,9.8796799
100045000000,0.0118700106,0.005494995,-0.00981527236,0.0834403038,-0.0901807777,9.88257819
100046000000,0.0104953295,0.00562530355,-0.00802487189,0.0767338871,-0.0602574552,9.94104443
100047000000,0.0128949644,0.00701358857,-0.00880229428,0.0188337204,-0.0553239264,9.9013831
100048000000,0.0112563629,0.00600429753,-0.00771381005,0.0642224658,-0.137883831,9.89952242
100049000000,0.0118623595,0.00622757429,-0.00919731785,0.180050715,-0.0468086266,9.93115233
100050000000,0.0114561717,0.00677720909,-0.00749546628,0.17293991,-0.0974240132,9.93091607
100051000000,0.0124700428,0.00558925251,-0.0076201082,0.120652007,-0.0517099347,9.92814818
100052000000,0.011651581,0.00753356643,-0.0101718052,0.173797685,-0.0123531718,9.96515561
100053000000,0.0113134888,0.0046076637,-0.00812621556,0.0550648229,0.0412602848,9.90677579
100054000000,0.0119330756,0.00534694393,-0.00823081428,0.147005327,-0.0497015829,9.84916856
100055000000,0.0133123587,0.00744295135,-0.00998524895,0.160522264,-0.0383167727,9.9476554
100056000000,0.012978813,0.00508478788,-0.00911829948,0.112400741,-0.115035184,9.89118472
100057000000,0.0119406627,0.00583461589,-0.00973056807,0.150569021,-0.0368639382,9.84982535
100058000000,0.0128969631,0.00617098086,-0.0100722839,0.188820804,-0.055571338,9.93090463
100059000000,0.0129285095,0.0067738876,-0.00852327667,0.0923085198,-0.0376177907,9.93659531
100060000000,0.0106696592,0.00699446057,-0.00857315299,0.0848453395,-0.055373524,10.021341
100061000000,0.0108835209,0.00619541337,-0.00845892641,0.0601348874,-0.0574299261,9.95860149
100062000000,0.0122246147,0.00534260566,-0.0102686429,0.0509811242,-0.0503745941,9.99634602
100063000000,0.0119790514,0.00588371638,-0.00955252689,0.0097163144,-0.00993186206,9.92071848
100064000000,0.0110595508,0.00656388885,-0.00838972255,0.176573604,-0.0235946507,10.0005313
