# timestamp tx ty tz
100.500000000 -0.000000 -0.000000 -0.000000
100.533333333 -0.000000 -0.000000 -0.000000
100.566666666 -0.000000 -0.000000 -0.000000
100.600000000 -0.000000 -0.000000 -0.000000
100.633333333 -0.000000 -0.000000 -0.000000
100.666666666 -0.000000 -0.000000 -0.000000
100.700000000 -0.000000 -0.000000 -0.000000
100.733333333 -0.000000 -0.000000 -0.000000
100.766666666 -0.000000 -0.000000 -0.000000
100.800000000 -0.000000 -0.000000 -0.000000
100.833333333 -0.000000 -0.000000 -0.000000
100.866666666 -0.000000 -0.000000 -0.000000
100.900000000 -0.000000 -0.000000 -0.000000
100.933333333 -0.000000 -0.000000 -0.000000
100.966666666 -0.000000 -0.000000 -0.000000
101.000000000 -0.000000 -0.000000 -0.000000
101.033333333 -0.000000 -0.000000 -0.000000
101.066666666 -0.000000 -0.000000 -0.000000
101.100000000 -0.000000 -0.000000 -0.000000
101.133333333 -0.000000 -0.000000 -0.000000
101.166666666 -0.000000 -0.000000 -0.000000
101.200000000 -0.000000 -0.000000 -0.000000
101.233333333 -0.000000 -0.000000 -0.000000
101.266666666 -0.000000 -0.000000 -0.000000
101.300000000 -0.000000 -0.000000 -0.000000
101.333333333 -0.000000 -0.000000 -0.000000
101.366666666 -0.000000 -0.000000 -0.000000
101.400000000 -0.000000 -0.000000 -0.000000
101.433333333 -0.000000 -0.000000 -0.000000
101.466666666 -0.000000 -0.000000 -0.000000
101.500000000 -0.000000 -0.000000 -0.000000
101.533333333 -0.000000 -0.000000 -0.000000
101.566666666 -0.000000 -0.000000 -0.000000
101.600000000 -0.000000 -0.000000 -0.000000
101.633333333 -0.000000 -0.000000 -0.000000
101.666666666 -0.000000 -0.000000 -0.000000
101.700000000 -0.000000 -0.000000 -0.000000
101.733333333 -0.000000 -0.000000 -0.000000
101.766666666 -0.000000 -0.000000 -0.000000
101.800000000 -0.000000 -0.000000 -0.000000
101.833333333 -0.000000 -0.000000 -0.000000
101.866666666 -0.000000 -0.000000 -0.000000
101.900000000 -0.000000 -0.000000 -0.000000
101.933333333 -0.000000 -0.000000 -0.000000
101.966666666 -0.000000 -0.000000 -0.000000
102.000000000 0.000000 0.000000 0.000000
102.033333333 0.000315 0.000138 0.000077
102.066666666 0.002370 0.001037 0.000578
102.100000000 0.007496 0.003280 0.001826
102.133333333 0.016575 0.007255 0.004037
102.166666666 0.030042 0.013155 0.007314
102.200000000 0.047885 0.020975 0.011653
102.233333333 0.069642 0.030519 0.016937
102.266666666 0.094411 0.041395 0.022945
102.300000000 0.120845 0.053016 0.029346
102.333333333 0.147162 0.064603 0.035706
102.366666666 0.171149 0.075187 0.041485
102.400000000 0.190162 0.083605 0.046044
102.433333333 0.205664 0.090498 0.049740
102.466666666 0.221085 0.097374 0.053402
102.500000000 0.236416 0.104230 0.057028
102.533333333 0.251653 0.111066 0.060616
102.566666666 0.266790 0.117880 0.064162
102.600000000 0.281819 0.124671 0.067665
102.633333333 0.296736 0.131437 0.071123
102.666666666 0.311535 0.138178 0.074532
102.700000000 0.326208 0.144891 0.077891
102.733333333 0.340752 0.151577 0.081197
102.766666666 0.355158 0.158232 0.084449
102.800000000 0.369423 0.164857 0.087643
102.833333333 0.383540 0.171449 0.090778
102.866666666 0.397504 0.178007 0.093852
102.900000000 0.411309 0.184531 0.096862
102.933333333 0.424949 0.191019 0.099807
102.966666666 0.438419 0.197469 0.102684
103.000000000 0.451714 0.203880 0.105492
103.033333333 0.464828 0.210252 0.108229
103.066666666 0.477756 0.216582 0.110892
103.100000000 0.490493 0.222870 0.113480
103.133333333 0.503034 0.229114 0.115992
103.166666666 0.515374 0.235313 0.118426
103.200000000 0.527508 0.241466 0.120779
103.233333333 0.539430 0.247572 0.123051
103.266666666 0.551137 0.253629 0.125239
103.300000000 0.562624 0.259636 0.127343
103.333333333 0.573885 0.265593 0.129361
103.366666666 0.584917 0.271498 0.131291
103.400000000 0.595714 0.277349 0.133133
103.433333333 0.606274 0.283146 0.134884
103.466666666 0.616591 0.288888 0.136544
103.500000000 0.626662 0.294572 0.138113
103.533333333 0.636481 0.300200 0.139587
103.566666666 0.646046 0.305768 0.140968
103.600000000 0.655353 0.311276 0.142253
103.633333333 0.664398 0.316724 0.143442
103.666666666 0.673177 0.322109 0.144534
103.700000000 0.681686 0.327431 0.145528
103.733333333 0.689923 0.332689 0.146424
103.766666666 0.697884 0.337882 0.147221
103.800000000 0.705566 0.343008 0.147918
103.833333333 0.712966 0.348068 0.148516
103.866666666 0.720080 0.353059 0.149013
